00:02:55 | INFO | GET http://localhost:7777/Telerik.Web.UI.WebResource.axd?type=rau
00:02:55 | INFO | Params: type=rau
00:02:55 | INFO | Headers:
00:02:55 | INFO | 	host: localhost:7777
00:02:55 | INFO | 	connection: close
00:02:55 | INFO | 	user-agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.113 Safari/537.36
00:02:55 | INFO | 	accept: */*
00:02:55 | INFO | 	accept-encoding: gzip
00:02:55 | INFO | Request:
00:02:55 | INFO | 	type : http
00:02:55 | INFO | 	asgi : {'version': '3.0', 'spec_version': '2.3'}
00:02:55 | INFO | 	http_version : 1.0
00:02:55 | INFO | 	server : ('192.168.64.2', 7777)
00:02:55 | INFO | 	client : ('192.168.64.1', 51524)
00:02:55 | INFO | 	scheme : http
00:02:55 | INFO | 	method : GET
00:02:55 | INFO | 	root_path : 
00:02:55 | INFO | 	path : /Telerik.Web.UI.WebResource.axd
00:02:55 | INFO | 	raw_path : b'/Telerik.Web.UI.WebResource.axd'
00:02:55 | INFO | 	query_string : b'type=rau'
00:02:55 | INFO | 	app : <fastapi.applications.FastAPI object at 0x7f2c46c6a2f0>
00:02:55 | INFO | Response Body=404
03:25:13 | INFO | GET http://localhost:7777/
03:25:13 | INFO | Params: 
03:25:13 | INFO | Headers:
03:25:13 | INFO | 	host: localhost:7777
03:25:13 | INFO | 	connection: close
03:25:13 | INFO | 	user-agent: Mozilla/5.0 zgrab/0.x
03:25:13 | INFO | 	accept: */*
03:25:13 | INFO | 	accept-encoding: gzip
03:25:13 | INFO | Request:
03:25:13 | INFO | 	type : http
03:25:13 | INFO | 	asgi : {'version': '3.0', 'spec_version': '2.3'}
03:25:13 | INFO | 	http_version : 1.0
03:25:13 | INFO | 	server : ('192.168.64.2', 7777)
03:25:13 | INFO | 	client : ('192.168.64.1', 42306)
03:25:13 | INFO | 	scheme : http
03:25:13 | INFO | 	method : GET
03:25:13 | INFO | 	root_path : 
03:25:13 | INFO | 	path : /
03:25:13 | INFO | 	raw_path : b'/'
03:25:13 | INFO | 	query_string : b''
03:25:13 | INFO | 	app : <fastapi.applications.FastAPI object at 0x7f2c46c6a2f0>
03:25:13 | INFO | Response Body=307
03:29:42 | INFO | GET http://localhost:7777/
03:29:42 | INFO | Params: 
03:29:42 | INFO | Headers:
03:29:42 | INFO | 	host: localhost:7777
03:29:42 | INFO | 	connection: close
03:29:42 | INFO | 	user-agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:79.0) Gecko/20100101 Firefox/79.0
03:29:42 | INFO | 	accept-language: zh-CN,zh;q=0.8,en-US;q=0.5,en;q=0.3
03:29:42 | INFO | 	accept-charset: GBK,utf-8;q=0.7,*;q=0.3
03:29:42 | INFO | 	accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,image/apng,*/*;q=0.8,application/signed-exchange;v=b3;q=0.9
03:29:42 | INFO | Request:
03:29:42 | INFO | 	type : http
03:29:42 | INFO | 	asgi : {'version': '3.0', 'spec_version': '2.3'}
03:29:42 | INFO | 	http_version : 1.0
