00:33:06 | INFO | GET http://localhost:7777///remote/fgt_lang?lang=/../../../..//////////dev/
00:33:06 | INFO | Params: lang=%2F..%2F..%2F..%2F..%2F%2F%2F%2F%2F%2F%2F%2F%2F%2Fdev%2F
00:33:06 | INFO | Headers:
00:33:06 | INFO | 	host: localhost:7777
00:33:06 | INFO | 	connection: close
00:33:06 | INFO | 	accept-encoding: gzip, deflate
00:33:06 | INFO | 	accept: */*
00:33:06 | INFO | 	user-agent: python-requests/2.6.0 CPython/2.7.5 Linux/3.10.0-1160.el7.x86_64
00:33:06 | INFO | Request:
00:33:06 | INFO | 	type : http
00:33:06 | INFO | 	asgi : {'version': '3.0', 'spec_version': '2.3'}
00:33:06 | INFO | 	http_version : 1.0
00:33:06 | INFO | 	server : ('192.168.208.3', 7777)
00:33:06 | INFO | 	client : ('192.168.208.1', 57644)
00:33:06 | INFO | 	scheme : http
00:33:06 | INFO | 	method : GET
00:33:06 | INFO | 	root_path : 
00:33:06 | INFO | 	path : ///remote/fgt_lang
00:33:06 | INFO | 	raw_path : b'///remote/fgt_lang'
00:33:06 | INFO | 	query_string : b'lang=/../../../..//////////dev/'
00:33:06 | INFO | 	app : <fastapi.applications.FastAPI object at 0x7f3b48a822f0>
00:33:06 | INFO | Response Body=404
00:35:44 | INFO | GET http://localhost:7777/
00:35:44 | INFO | Params: 
00:35:44 | INFO | Headers:
00:35:44 | INFO | 	host: localhost:7777
00:35:44 | INFO | 	connection: close
00:35:44 | INFO | 	user-agent: Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.6.1 Safari/605.1.15
00:35:44 | INFO | 	accept: */*
00:35:44 | INFO | 	accept-encoding: gzip
00:35:44 | INFO | Request:
00:35:44 | INFO | 	type : http
00:35:44 | INFO | 	asgi : {'version': '3.0', 'spec_version': '2.3'}
00:35:44 | INFO | 	http_version : 1.0
00:35:44 | INFO | 	server : ('192.168.208.3', 7777)
00:35:44 | INFO | 	client : ('192.168.208.1', 59808)
00:35:44 | INFO | 	scheme : http
00:35:44 | INFO | 	method : GET
00:35:44 | INFO | 	root_path : 
00:35:44 | INFO | 	path : /
00:35:44 | INFO | 	raw_path : b'/'
00:35:44 | INFO | 	query_string : b''
00:35:44 | INFO | 	app : <fastapi.applications.FastAPI object at 0x7f3b48a822f0>
00:35:45 | INFO | Response Body=307
00:42:49 | INFO | GET http://localhost:7777/favicon.ico
00:42:49 | INFO | Params: 
00:42:49 | INFO | Headers:
00:42:49 | INFO | 	host: localhost:7777
00:42:49 | INFO | 	connection: close
00:42:49 | INFO | 	user-agent: Mozilla/5.0 (Windows NT 10.0; rv:104.0) Gecko/20100101 Firefox/104.0
00:42:49 | INFO | 	accept: */*
00:42:49 | INFO | 	accept-encoding: gzip
00:42:49 | INFO | Request:
00:42:49 | INFO | 	type : http
00:42:49 | INFO | 	asgi : {'version': '3.0', 'spec_version': '2.3'}
00:42:49 | INFO | 	http_version : 1.0
00:42:49 | INFO | 	server : ('192.168.208.3', 7777)
00:42:49 | INFO | 	client : ('192.168.208.1', 58684)
00:42:49 | INFO | 	scheme : http
00:42:49 | INFO | 	method : GET
00:42:49 | INFO | 	root_path : 
00:42:49 | INFO | 	path : /favicon.ico
00:42:49 | INFO | 	raw_path : b'/favicon.ico'
00:42:49 | INFO | 	query_string : b''
00:42:49 | INFO | 	app : <fastapi.applications.FastAPI object at 0x7f3b48a822f0>
00:42:49 | INFO | Response Body=404
00:45:37 | INFO | GET http://localhost:7777/
00:45:37 | INFO | Params: 
00:45:37 | INFO | Headers:
00:45:37 | INFO | 	host: localhost:7777
00:45:37 | INFO | 	connection: close
00:45:37 | INFO | 	user-agent: Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.6.1 Safari/605.1.15
00:45:37 | INFO | 	accept: */*
00:45:37 | INFO | 	accept-encoding: gzip
00:45:37 | INFO | Request:
00:45:37 | INFO | 	type : http
00:45:37 | INFO | 	asgi : {'version': '3.0', 'spec_version': '2.3'}
00:45:37 | INFO | 	http_version : 1.0
00:45:37 | INFO | 	server : ('192.168.208.3', 7777)
00:45:37 | INFO | 	client : ('192.168.208.1', 59436)
00:45:37 | INFO | 	scheme : http
00:45:37 | INFO | 	method : GET
00:45:37 | INFO | 	root_path : 
00:45:37 | INFO | 	path : /
00:45:37 | INFO | 	raw_path : b'/'
00:45:37 | INFO | 	query_string : b''
00:45:37 | INFO | 	app : <fastapi.applications.FastAPI object at 0x7f3b48a822f0>
00:45:37 | INFO | Response Body=307
00:46:10 | INFO | GET http://localhost:7777/
00:46:10 | INFO | Params: 
00:46:10 | INFO | Headers:
00:46:10 | INFO | 	host: localhost:7777
00:46:10 | INFO | 	connection: close
00:46:10 | INFO | 	user-agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36 Edg/106.0.1370.37
00:46:10 | INFO | 	accept: */*
00:46:10 | INFO | 	accept-encoding: gzip
00:46:10 | INFO | Request:
00:46:10 | INFO | 	type : http
00:46:10 | INFO | 	asgi : {'version': '3.0', 'spec_version': '2.3'}
00:46:10 | INFO | 	http_version : 1.0
00:46:10 | INFO | 	server : ('192.168.208.3', 7777)
00:46:10 | INFO | 	client : ('192.168.208.1', 60222)
00:46:10 | INFO | 	scheme : http
00:46:10 | INFO | 	method : GET
00:46:10 | INFO | 	root_path : 
00:46:10 | INFO | 	path : /
00:46:10 | INFO | 	raw_path : b'/'
00:46:10 | INFO | 	query_string : b''
00:46:10 | INFO | 	app : <fastapi.applications.FastAPI object at 0x7f3b48a822f0>
00:46:10 | INFO | Response Body=307
00:46:11 | INFO | GET http://localhost:7777/login
00:46:11 | INFO | Params: 
00:46:11 | INFO | Headers:
00:46:11 | INFO | 	host: localhost:7777
00:46:11 | INFO | 	connection: close
00:46:11 | INFO | 	user-agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36 Edg/106.0.1370.37
00:46:11 | INFO | 	accept: */*
00:46:11 | INFO | 	referer: https://46.229.212.89/
00:46:11 | INFO | 	accept-encoding: gzip
00:46:11 | INFO | Request:
00:46:11 | INFO | 	type : http
00:46:11 | INFO | 	asgi : {'version': '3.0', 'spec_version': '2.3'}
00:46:11 | INFO | 	http_version : 1.0
00:46:11 | INFO | 	server : ('192.168.208.3', 7777)
00:46:11 | INFO | 	client : ('192.168.208.1', 60238)
00:46:11 | INFO | 	scheme : http
00:46:11 | INFO | 	method : GET
00:46:11 | INFO | 	root_path : 
00:46:11 | INFO | 	path : /login
00:46:11 | INFO | 	raw_path : b'/login'
00:46:11 | INFO | 	query_string : b''
00:46:11 | INFO | 	app : <fastapi.applications.FastAPI object at 0x7f3b48a822f0>
00:46:11 | INFO | Response Body=200
00:47:27 | INFO | GET http://localhost:7777/.git/config
00:47:27 | INFO | Params: 
00:47:27 | INFO | Headers:
00:47:27 | INFO | 	host: localhost:7777
00:47:27 | INFO | 	connection: close
00:47:27 | INFO | 	user-agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36
00:47:27 | INFO | 	accept: */*
00:47:27 | INFO | 	accept-encoding: gzip
00:47:27 | INFO | Request:
00:47:27 | INFO | 	type : http
00:47:27 | INFO | 	asgi : {'version': '3.0', 'spec_version': '2.3'}
00:47:27 | INFO | 	http_version : 1.0
00:47:27 | INFO | 	server : ('192.168.208.3', 7777)
00:47:27 | INFO | 	client : ('192.168.208.1', 41508)
00:47:27 | INFO | 	scheme : http
00:47:27 | INFO | 	method : GET
00:47:27 | INFO | 	root_path : 
00:47:27 | INFO | 	path : /.git/config
00:47:27 | INFO | 	raw_path : b'/.git/config'
00:47:27 | INFO | 	query_string : b''
00:47:27 | INFO | 	app : <fastapi.applications.FastAPI object at 0x7f3b48a822f0>
00:47:27 | INFO | Response Body=404
02:03:32 | INFO | GET http://localhost:7777/autodiscover/autodiscover.json?@zdi/Powershell
02:03:32 | INFO | Params: %40zdi%2FPowershell=
02:03:32 | INFO | Headers:
02:03:32 | INFO | 	host: localhost:7777
02:03:32 | INFO | 	connection: close
02:03:32 | INFO | 	user-agent: Mozilla/5.0 zgrab/0.x
02:03:32 | INFO | 	accept: */*
02:03:32 | INFO | 	accept-encoding: gzip
02:03:32 | INFO | Request:
02:03:32 | INFO | 	type : http
02:03:32 | INFO | 	asgi : {'version': '3.0', 'spec_version': '2.3'}
02:03:32 | INFO | 	http_version : 1.0
02:03:32 | INFO | 	server : ('192.168.208.3', 7777)
02:03:32 | INFO | 	client : ('192.168.208.1', 34444)
02:03:32 | INFO | 	scheme : http
02:03:32 | INFO | 	method : GET
02:03:32 | INFO | 	root_path : 
02:03:32 | INFO | 	path : /autodiscover/autodiscover.json
02:03:32 | INFO | 	raw_path : b'/autodiscover/autodiscover.json'
02:03:32 | INFO | 	query_string : b'@zdi/Powershell'
02:03:32 | INFO | 	app : <fastapi.applications.FastAPI object at 0x7f3b48a822f0>
02:03:32 | INFO | Response Body=404
02:21:00 | INFO | GET http://localhost:7777/Public/home/js/check.js
02:21:00 | INFO | Params: 
02:21:00 | INFO | Headers:
02:21:00 | INFO | 	host: localhost:7777
02:21:00 | INFO | 	connection: close
02:21:00 | INFO | 	user-agent: Mozilla/5.0 (Linux; Android 11; M2004J15SC) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.5060.114 Mobile Safari/537.36
02:21:00 | INFO | 	accept: */*
02:21:00 | INFO | 	accept-encoding: gzip
02:21:00 | INFO | Request:
02:21:00 | INFO | 	type : http
02:21:00 | INFO | 	asgi : {'version': '3.0', 'spec_version': '2.3'}
02:21:00 | INFO | 	http_version : 1.0
02:21:00 | INFO | 	server : ('192.168.208.3', 7777)
02:21:00 | INFO | 	client : ('192.168.208.1', 58280)
02:21:00 | INFO | 	scheme : http
02:21:00 | INFO | 	method : GET
02:21:00 | INFO | 	root_path : 
02:21:00 | INFO | 	path : /Public/home/js/check.js
02:21:00 | INFO | 	raw_path : b'/Public/home/js/check.js'
02:21:00 | INFO | 	query_string : b''
02:21:00 | INFO | 	app : <fastapi.applications.FastAPI object at 0x7f3b48a822f0>
02:21:00 | INFO | Response Body=404
02:21:01 | INFO | GET http://localhost:7777/static/admin/javascript/hetong.js
02:21:01 | INFO | Params: 
02:21:01 | INFO | Headers:
02:21:01 | INFO | 	host: localhost:7777
02:21:01 | INFO | 	connection: close
02:21:01 | INFO | 	user-agent: Mozilla/5.0 (Linux; Android 11; M2004J15SC) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.5060.114 Mobile Safari/537.36
02:21:01 | INFO | 	accept: */*
02:21:01 | INFO | 	accept-encoding: gzip
02:21:01 | INFO | Request:
02:21:01 | INFO | 	type : http
