00:49:57 | INFO | GET http://localhost:7777/ab2g
00:49:57 | INFO | Params: 
00:49:57 | INFO | Headers:
00:49:57 | INFO | 	host: localhost:7777
00:49:57 | INFO | 	connection: close
00:49:57 | INFO | 	user-agent: Mozilla/5.0 zgrab/0.x
00:49:57 | INFO | 	accept: */*
00:49:57 | INFO | 	accept-encoding: gzip
00:49:57 | INFO | Request:
00:49:57 | INFO | 	type : http
00:49:57 | INFO | 	asgi : {'version': '3.0', 'spec_version': '2.3'}
00:49:57 | INFO | 	http_version : 1.0
00:49:57 | INFO | 	server : ('192.168.64.2', 7777)
00:49:57 | INFO | 	client : ('192.168.64.1', 33458)
00:49:57 | INFO | 	scheme : http
00:49:57 | INFO | 	method : GET
00:49:57 | INFO | 	root_path : 
00:49:57 | INFO | 	path : /ab2g
00:49:57 | INFO | 	raw_path : b'/ab2g'
00:49:57 | INFO | 	query_string : b''
00:49:57 | INFO | 	app : <fastapi.applications.FastAPI object at 0x7f2c46c6a2f0>
00:49:57 | INFO | Response Body=404
00:49:57 | INFO | GET http://localhost:7777/ab2h
00:49:57 | INFO | Params: 
00:49:57 | INFO | Headers:
00:49:57 | INFO | 	host: localhost:7777
00:49:57 | INFO | 	connection: close
00:49:57 | INFO | 	user-agent: Mozilla/5.0 zgrab/0.x
00:49:57 | INFO | 	accept: */*
00:49:57 | INFO | 	accept-encoding: gzip
00:49:57 | INFO | Request:
00:49:57 | INFO | 	type : http
00:49:57 | INFO | 	asgi : {'version': '3.0', 'spec_version': '2.3'}
00:49:57 | INFO | 	http_version : 1.0
00:49:57 | INFO | 	server : ('192.168.64.2', 7777)
00:49:57 | INFO | 	client : ('192.168.64.1', 33472)
00:49:57 | INFO | 	scheme : http
00:49:57 | INFO | 	method : GET
00:49:57 | INFO | 	root_path : 
00:49:57 | INFO | 	path : /ab2h
00:49:57 | INFO | 	raw_path : b'/ab2h'
00:49:57 | INFO | 	query_string : b''
00:49:57 | INFO | 	app : <fastapi.applications.FastAPI object at 0x7f2c46c6a2f0>
00:49:57 | INFO | Response Body=404
00:49:59 | INFO | GET http://localhost:7777/
00:49:59 | INFO | Params: 
00:49:59 | INFO | Headers:
00:49:59 | INFO | 	host: localhost:7777
00:49:59 | INFO | 	connection: close
00:49:59 | INFO | 	user-agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36
00:49:59 | INFO | 	accept: */*
00:49:59 | INFO | 	accept-encoding: gzip
00:49:59 | INFO | Request:
00:49:59 | INFO | 	type : http
00:49:59 | INFO | 	asgi : {'version': '3.0', 'spec_version': '2.3'}
00:49:59 | INFO | 	http_version : 1.0
00:49:59 | INFO | 	server : ('192.168.64.2', 7777)
00:49:59 | INFO | 	client : ('192.168.64.1', 33480)
00:49:59 | INFO | 	scheme : http
00:49:59 | INFO | 	method : GET
00:49:59 | INFO | 	root_path : 
00:49:59 | INFO | 	path : /
00:49:59 | INFO | 	raw_path : b'/'
00:49:59 | INFO | 	query_string : b''
00:49:59 | INFO | 	app : <fastapi.applications.FastAPI object at 0x7f2c46c6a2f0>
00:49:59 | INFO | Response Body=307
00:49:59 | INFO | GET http://localhost:7777/t4
00:49:59 | INFO | Params: 
00:49:59 | INFO | Headers:
00:49:59 | INFO | 	host: localhost:7777
00:49:59 | INFO | 	connection: close
00:49:59 | INFO | 	user-agent: Mozilla/5.0
00:49:59 | INFO | 	accept: */*
00:49:59 | INFO | 	accept-encoding: gzip
00:49:59 | INFO | Request:
00:49:59 | INFO | 	type : http
00:49:59 | INFO | 	asgi : {'version': '3.0', 'spec_version': '2.3'}
00:49:59 | INFO | 	http_version : 1.0
00:49:59 | INFO | 	server : ('192.168.64.2', 7777)
00:49:59 | INFO | 	client : ('192.168.64.1', 33488)
00:49:59 | INFO | 	scheme : http
00:49:59 | INFO | 	method : GET
00:49:59 | INFO | 	root_path : 
00:49:59 | INFO | 	path : /t4
00:49:59 | INFO | 	raw_path : b'/t4'
00:49:59 | INFO | 	query_string : b''
00:49:59 | INFO | 	app : <fastapi.applications.FastAPI object at 0x7f2c46c6a2f0>
00:49:59 | INFO | Response Body=404
00:52:35 | INFO | GET http://46.229.212.89:7777/
00:52:35 | INFO | Params: 
00:52:35 | INFO | Headers:
00:52:35 | INFO | 	host: 46.229.212.89:7777
00:52:35 | INFO | 	accept: */*
00:52:35 | INFO | Request:
00:52:35 | INFO | 	type : http
00:52:35 | INFO | 	asgi : {'version': '3.0', 'spec_version': '2.3'}
00:52:35 | INFO | 	http_version : 1.1
00:52:35 | INFO | 	server : ('192.168.64.2', 7777)
00:52:35 | INFO | 	client : ('154.89.5.78', 27266)
00:52:35 | INFO | 	scheme : http
00:52:35 | INFO | 	method : GET
00:52:35 | INFO | 	root_path : 
00:52:35 | INFO | 	path : /
