01:08:22 | INFO | GET http://localhost:7777/6493205775247574395834.html
01:08:22 | INFO | Params: 
01:08:22 | INFO | Headers:
01:08:22 | INFO | 	host: localhost:7777
01:08:22 | INFO | 	connection: close
01:08:22 | INFO | 	accept: */*
01:08:22 | INFO | Request:
01:08:22 | INFO | 	type : http
01:08:22 | INFO | 	asgi : {'version': '3.0', 'spec_version': '2.3'}
01:08:22 | INFO | 	http_version : 1.0
01:08:22 | INFO | 	server : ('192.168.0.3', 7777)
01:08:22 | INFO | 	client : ('192.168.0.1', 37692)
01:08:22 | INFO | 	scheme : http
01:08:22 | INFO | 	method : GET
01:08:22 | INFO | 	root_path : 
01:08:22 | INFO | 	path : /6493205775247574395834.html
01:08:22 | INFO | 	raw_path : b'/6493205775247574395834.html'
01:08:22 | INFO | 	query_string : b''
01:08:22 | INFO | 	app : <fastapi.applications.FastAPI object at 0x7f340845a2f0>
01:08:22 | INFO | Response Body=404
02:08:46 | INFO | GET http://localhost:7777/
02:08:46 | INFO | Params: 
02:08:46 | INFO | Headers:
02:08:46 | INFO | 	host: localhost:7777
02:08:46 | INFO | 	connection: close
02:08:46 | INFO | 	accept: */*
02:08:46 | INFO | Request:
02:08:46 | INFO | 	type : http
02:08:46 | INFO | 	asgi : {'version': '3.0', 'spec_version': '2.3'}
02:08:46 | INFO | 	http_version : 1.0
02:08:46 | INFO | 	server : ('192.168.0.3', 7777)
02:08:46 | INFO | 	client : ('192.168.0.1', 32904)
02:08:46 | INFO | 	scheme : http
02:08:46 | INFO | 	method : GET
02:08:46 | INFO | 	root_path : 
02:08:46 | INFO | 	path : /
02:08:46 | INFO | 	raw_path : b'/'
02:08:46 | INFO | 	query_string : b''
02:08:46 | INFO | 	app : <fastapi.applications.FastAPI object at 0x7f340845a2f0>
02:08:46 | INFO | Response Body=307
02:54:41 | INFO | GET http://46.229.212.89:7777/
02:54:41 | INFO | Params: 
02:54:41 | INFO | Headers:
02:54:41 | INFO | 	host: 46.229.212.89:7777
02:54:41 | INFO | Request:
02:54:41 | INFO | 	type : http
